Name,Brand,Movement,Display,Reserve,Frequency,URL
ETA caliber 7753,ETA,Automatic,Analog,42,28800,https://watchbase.com/eta/caliber/7753
Carl F. Bucherer caliber CFB MR3000,Carl F. Bucherer,Automatic,Analog,65,N/A,https://watchbase.com/carl-f-bucherer/caliber/cfb-mr3000
Breva caliber BRE03.001,Breva,Automatic,Analog,60,28800,https://watchbase.com/breva/caliber/bre03-001
Girard-Perregaux caliber GP01800-1041,Girard-Perregaux,Automatic,Analog,54,28800,https://watchbase.com/girard-perregaux/caliber/gp01800-1041
Hublot caliber HUB2900,Hublot,Quartz,Analog,N/A,N/A,https://watchbase.com/hublot/caliber/hub2900
Chopard caliber L.U.C 01.01-L,Chopard,Automatic,Analog,60,28000,https://watchbase.com/chopard/caliber/l-u-c-01-01-l
Breitling caliber Caliber 79,Breitling,Quartz,Analog/ Digital,N/A,N/A,https://watchbase.com/breitling/caliber/caliber-79
Audemars Piguet caliber AP 2964,Audemars Piguet,Handwound,Analog,72,21600,https://watchbase.com/audemars-piguet/caliber/copy-of-ap-2948
Hamilton caliber H-21 Si,Hamilton,Automatic,Analog,60,28800,https://watchbase.com/hamilton/caliber/h-21-si
Chopard caliber Chopard 03.05-M,Chopard,Automatic,Analog,60,28800,https://watchbase.com/chopard/caliber/chopard-03-05-m
Chopard caliber L.U.C 98.01-L,Chopard,Handwound,Analog,216,28800,https://watchbase.com/chopard/caliber/l-u-c-98-01-l
Frederique Constant caliber FC-710,Frederique Constant,Automatic,Analog,42,28800,https://watchbase.com/frederique-constant/caliber/fc-710
ETA caliber 251.274,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/251-274
Arnold & Son caliber A&S1512,Arnold & Son,Handwound,Analog,80,21600,https://watchbase.com/arnold-son/caliber/a-s1512
ETA caliber 2892-A2 ND,ETA,Automatic,Analog,42,28800,https://watchbase.com/eta/caliber/2892-a2-nd
Hublot caliber HUB1143,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub1143
ETA caliber 980.163,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/980-163
Audemars Piguet caliber AP 2701,Audemars Piguet,Quartz,N/A,N/A,N/A,https://watchbase.com/audemars-piguet/caliber/ap-2701
Chopard caliber L.U.C 96.13-L,Chopard,Automatic,Analog,65,28000,https://watchbase.com/chopard/caliber/l-u-c-96-13-l
Audemars Piguet caliber AP 4404,Audemars Piguet,Automatic,Analog,70,28800,https://watchbase.com/audemars-piguet/caliber/ap-4404
Girard-Perregaux caliber GP01890-0003,Girard-Perregaux,Automatic,Analog,54,28800,https://watchbase.com/girard-perregaux/caliber/gp01890-0003
